,0,1,2,3,4,5,6,7,8,val
0,X, , , , , , , , ,-0.1450255786226079
1, ,X, , , , , , , ,-0.19344523437499994
2, , ,X, , , , , , ,-0.1795083117737069
3, , , ,X, , , , , ,9.994197164675332e-63
4, , , , ,X, , , , ,-0.19344523437502956
5, , , , , ,X, , , ,-0.14508392578124998
6, , , , , , ,X, , ,-0.10888684687459237
7, , , , , , , ,X, ,-0.19344523437455843
8, , , , , , , , ,X,-0.1043612272692761
9,O, , , , , , , ,X,0.7582466778563177
10, ,O, , , , , , ,X,0.7728384804996614
11, , ,O, , , , , ,X,0.7729608367764879
12, , , ,O, , , , ,X,0.7734846884499237
13, , , , ,O, , , ,X,-0.11441955679448386
14, , , , , ,O, , ,X,0.7109640653500824
15, , , , , , ,O, ,X,0.7386231748177371
16, , , , , , , ,O,X,0.6519754018551722
17,X, , , , ,O, , ,X,-0.14561633204215763
18, ,X, , , ,O, , ,X,0.15316948741650577
19, , ,X, , ,O, , ,X,-0.033891141048967836
20, , , ,X, ,O, , ,X,1.107390267554053e-62
21, , , , ,X,O, , ,X,0.5387154977281585
22, , , , , ,O,X, ,X,0.81522797080147
23, , , , , ,O, ,X,X,0.8032358270938964
24,X, ,X, , ,O,O, ,X,0.9024996917259456
25, ,X,X, , ,O,O, ,X,0.050744484275579455
26, , ,X,X, ,O,O, ,X,3.042486300508329e-37
27, , ,X, ,X,O,O, ,X,0.2267808001746598
28, , ,X, , ,O,O,X,X,-0.21434374999999997
29,O, ,X, ,X,O,O, ,X,-0.12731653389021863
30, ,O,X, ,X,O,O, ,X,0.9492398689430285
31, , ,X,O,X,O,O, ,X,0.8972546376490208
32, , ,X, ,X,O,O,O,X,0.948972979682613
33,X, ,X,O,X,O,O, ,X,0.9999992449044581
34, ,X,X,O,X,O,O, ,X,-0.2375
35, , ,X,O,X,O,O,X,X,-0.38890625
36,O,X,X,O,X,O,O, ,X,-0.822021484375
37, ,X,X,O,X,O,O,O,X,0.9499999959558406
38, , ,X, , ,O,O, ,X,0.8573680204495944
39,O, ,X, , , , , , ,0.6090251397830179
40, ,O,X, , , , , , ,0.6694719099124514
41, , ,X,O, , , , , ,0.8056029320486653
42, , ,X, ,O, , , , ,-0.188961075210563
43, , ,X, , ,O, , , ,0.6292446148359487
44, , ,X, , , ,O, , ,0.7777397667187214
45, , ,X, , , , ,O, ,0.7478661320132756
46, , ,X, , , , , ,O,0.6896289122973853
47,X, ,X, , , , ,O, ,0.2884351509992374
48, ,X,X, , , , ,O, ,-0.18746452151439258
49, , ,X,X, , , ,O, ,0.09096109881770983
50, , ,X, ,X, , ,O, ,0.3262896119698033
51, , ,X, , ,X, ,O, ,-0.671923513790142
52, , ,X, , , ,X,O, ,0.07381151268345565
53, , ,X, , , , ,O,X,0.7917095687164135
54,X,X,X, ,O, , ,O, ,0.9999999999999998
55,X, ,X,X,O, , ,O, ,-0.645197126197163
56,X, ,X, ,O,X, ,O, ,-0.8826879810891114
57,X, ,X, ,O, ,X,O, ,-0.9253003648928447
58,X, ,X, ,O, , ,O,X,-0.8348207386324937
59,X,O,X, ,O, , ,O,X,-0.999999998204074
60,X, ,X,O,O, , ,O,X,0.41562499999999997
